,date,accession_number,ticker,quantity,price,total_trans_cost,total_shares_after_trans
0,2022-01-04 00:00:00,0001209191-22-044453,MKFG,500000.0,2.19,1095000.0,1191983.0
1,2022-01-05 00:00:00,0001127602-22-020567,GPN,10109.0,128.6,1300017.4,74787.0
2,2022-01-05 00:00:00,0001596783-22-000047,CTLT,18689.0,107.02,2000096.78,80187.0
3,2022-01-05 00:00:00,0000072333-22-000173,JWN,54177.0,24.82,1344673.1400000001,98810.0
4,2022-01-05 00:00:00,0001127602-22-018793,NI,38664.0,30.05,1161853.2,46983.0
5,2022-01-07 00:00:00,0001127602-22-019073,SWK,9282.0,107.74,1000042.6799999999,27245.1
6,2022-01-12 00:00:00,0001631569-22-000069,CHCT,28085.0,39.9,1120591.5,219515.0
7,2022-01-16 00:00:00,0001127602-22-022538,ARW,40356.0,99.12,4000086.72,40356.0
8,2022-01-21 00:00:00,0001062993-22-019813,PFG,61637.0,51.73,3188482.01,159280.0
9,2022-01-21 00:00:00,0001104659-22-081591,BSY,31093.0,35.28,1096961.04,2305519.0
10,2022-01-23 00:00:00,0001225208-22-009761,TPR,56481.0,35.41,1999992.2099999997,261614.0
11,2022-01-26 00:00:00,0001127602-22-021622,ATGE,60390.0,39.74,2399898.6,246174.0
12,2022-01-26 00:00:00,0000018349-22-000141,SNV,27161.0,40.5,1100020.5,27161.0
13,2022-01-28 00:00:00,0001567619-22-014582,CTAS,4716.0,397.83,1876166.28,31463.0
14,2022-02-04 00:00:00,0001209191-22-044453,MKFG,500000.0,2.19,1095000.0,1191983.0
15,2022-02-05 00:00:00,0001127602-22-020567,GPN,10109.0,128.6,1300017.4,74787.0
16,2022-02-05 00:00:00,0001596783-22-000047,CTLT,18689.0,107.02,2000096.78,80187.0
17,2022-02-05 00:00:00,0000072333-22-000173,JWN,54177.0,24.82,1344673.1400000001,98810.0
18,2022-02-05 00:00:00,0001127602-22-018793,NI,38664.0,30.05,1161853.2,46983.0
19,2022-02-07 00:00:00,0001127602-22-019073,SWK,9282.0,107.74,1000042.6799999999,27245.1
20,2022-02-12 00:00:00,0001631569-22-000069,CHCT,28085.0,39.9,1120591.5,219515.0
21,2022-02-16 00:00:00,0001127602-22-022538,ARW,40356.0,99.12,4000086.72,40356.0
