,date,accession_number,ticker,quantity,price,total_trans_cost,total_shares_after_trans
0,2019-01-01 00:00:00,0001209191-19-015267,HII,12194.0,210.24,2563666.56,20420.58
1,2019-01-01 00:00:00,0001209191-19-015261,HII,14139.0,210.24,2972583.3600000003,56404.72
2,2019-01-01 00:00:00,0001209191-19-015252,HII,7435.0,210.24,1563134.4000000001,13999.84
3,2019-01-01 00:00:00,0001209191-19-015225,HII,12785.0,210.24,2687918.4,64469.72
4,2019-01-01 00:00:00,0001127602-19-009278,CVS,27183.0,57.83,1571992.89,208188.5
5,2019-01-04 00:00:00,0001545711-19-000007,IPG,160151.0,22.9,3667457.9,934910.0
6,2019-01-04 00:00:00,0001545711-19-000007,IPG,268161.0,22.9,6140886.899999999,965716.0
7,2019-01-04 00:00:00,0001437749-19-001787,HTGC,247336.0,13.14,3249995.04,497733.0
8,2019-01-05 00:00:00,0001225208-19-004644,Z AND ZG,38953.0,40.36,1572143.08,39654.0
9,2019-01-05 00:00:00,0001225208-19-004638,Z AND ZG,58430.0,40.36,2358234.8,137837.0
10,2019-01-05 00:00:00,0001445305-19-000022,WK,38700.0,41.86,1619982.0,218475.0
11,2019-01-05 00:00:00,0001445305-19-000020,WK,43000.0,41.86,1799980.0,332233.0
12,2019-01-05 00:00:00,0001127602-19-004045,JAG,321269.0,10.53,3382962.57,2249817.0
13,2019-01-05 00:00:00,0001732845-19-000057,WRK,78580.0,38.7,3041046.0,162437.0
14,2019-01-05 00:00:00,0001732845-19-000055,WRK,119272.0,38.7,4615826.4,195230.0
15,2019-01-05 00:00:00,0001732845-19-000053,WRK,47060.0,38.7,1821222.0000000002,109562.0
16,2019-01-05 00:00:00,0001732845-19-000051,WRK,42172.0,38.7,1632056.4000000001,341.06
17,2019-01-05 00:00:00,0001732845-19-000047,WRK,66411.0,38.7,2570105.7,108433.0
18,2019-01-06 00:00:00,0001069183-19-000041,AAXN,30135.0,60.22,1814729.7,108452.0
19,2019-01-06 00:00:00,0000059478-19-000067,LLY,21224.0,120.17,2550488.08,67806.0
20,2019-01-06 00:00:00,0000059478-19-000063,LLY,15619.0,120.17,1876935.23,70818.0
21,2019-01-06 00:00:00,0000059478-19-000055,LLY,28155.0,120.17,3383386.35,126299.0
22,2019-01-06 00:00:00,0000059478-19-000053,LLY,19404.0,120.17,2331778.68,124509.0
23,2019-01-06 00:00:00,0000059478-19-000051,LLY,26681.0,120.17,3206255.77,157961.0
24,2019-01-08 00:00:00,0001628280-19-001133,CW,21929.0,116.16,2547272.64,97093.0
25,2019-01-11 00:00:00,0001182489-19-000101,PM,49310.0,77.2,3806732.0,793075.0
26,2019-01-12 00:00:00,0001127602-19-011009,CSGS,51033.0,41.15,2100007.9499999997,292008.0
27,2019-01-12 00:00:00,0001485532-19-000002,IEX,17238.0,137.85,2376258.3,43185.0
28,2019-01-12 00:00:00,0000091142-19-000015,AOS,30840.0,48.72,1502524.8,316244.0
29,2019-01-13 00:00:00,0001209191-19-019113,HSII,52144.0,41.8,2179619.1999999997,90675.0
30,2019-01-13 00:00:00,0001280452-19-000028,MPWR,74331.0,30.0,2229930.0,389020.0
31,2019-01-13 00:00:00,0001280452-19-000026,MPWR,74331.0,30.0,2229930.0,471749.0
32,2019-01-13 00:00:00,0001437749-19-002489,MPWR,74331.0,30.0,2229930.0,372618.0
33,2019-01-13 00:00:00,0001225208-19-002458,UTX,19952.0,122.72,2448509.44,56135.48
34,2019-01-13 00:00:00,0001225208-19-002446,UTX,19952.0,122.72,2448509.44,45003.0
35,2019-01-13 00:00:00,0001225208-19-002445,UTX,16588.0,122.72,2035679.3599999999,38222.64
36,2019-01-13 00:00:00,0001225208-19-002443,UTX,18328.0,122.72,2249212.16,34927.0
37,2019-01-13 00:00:00,0001225208-19-002442,UTX,18328.0,122.72,2249212.16,18328.0
38,2019-01-13 00:00:00,0001225208-19-002441,UTX,20416.0,122.72,2505451.52,73306.0
39,2019-01-13 00:00:00,0001225208-19-002440,UTX,22203.0,122.72,2724752.16,32704.0
40,2019-01-14 00:00:00,0001437749-19-002678,OTTR,51244.0,49.62,2542727.28,186319.0
41,2019-01-14 00:00:00,0001453814-19-000014,MDSO,25490.0,71.98,1834770.2000000002,83627.0
42,2019-01-14 00:00:00,0001453814-19-000010,MDSO,38236.0,71.98,2752227.2800000003,114760.0
43,2019-01-14 00:00:00,0000751364-19-000037,NNN,62685.0,53.7,3366184.5,398965.0
44,2019-01-19 00:00:00,0001127602-19-012232,LII,6955.0,249.68,1736524.4000000001,63251.0
45,2019-01-19 00:00:00,0001225208-19-002890,WM,51852.0,98.61,5113125.72,250536.65
46,2019-01-19 00:00:00,0001225208-19-002886,WM,44444.0,98.61,4382622.84,95827.0
47,2019-01-20 00:00:00,0000059478-19-000108,LLY,19405.0,120.17,2331898.85,124510.0
48,2019-01-20 00:00:00,0000059478-19-000107,LLY,26682.0,120.17,3206375.94,157962.0
49,2019-01-20 00:00:00,0000059478-19-000106,LLY,28156.0,120.17,3383506.52,126300.0
50,2019-01-22 00:00:00,0001562180-19-001248,LYB,42192.0,89.16,3761838.7199999997,151574.0
51,2019-01-22 00:00:00,0001127602-19-002512,BLK,4295.0,410.32,1762324.4,126072.34
52,2019-01-22 00:00:00,0001127602-19-002511,BLK,3717.0,410.32,1525159.44,29188.0
53,2019-01-22 00:00:00,0001127602-19-002510,BLK,4874.0,410.32,1999899.68,48204.0
54,2019-01-22 00:00:00,0001127602-19-002503,BLK,3717.0,410.32,1525159.44,15484.0
55,2019-01-22 00:00:00,0001209191-19-004753,CSX,58184.0,65.09,3787196.56,165822.0
56,2019-01-23 00:00:00,0000802481-19-000002,PPC,100000.0,16.06,1605999.9999999998,401073.0
57,2019-01-24 00:00:00,0001209191-19-005189,URI,13164.0,118.24,1556511.3599999999,33117.0
58,2019-01-24 00:00:00,0001209191-19-005186,URI,13302.0,118.24,1572828.48,29051.0
59,2019-01-24 00:00:00,0001209191-19-005165,URI,21056.0,118.24,2489661.44,57730.0
60,2019-01-24 00:00:00,0001209191-19-005153,URI,15525.0,118.24,1835676.0,30412.0
61,2019-01-27 00:00:00,0001225208-19-003897,MRK,32937.0,80.38,2647476.06,175335.92
62,2019-01-27 00:00:00,0001225208-19-003891,MRK,30610.0,80.38,2460431.8,137659.76
63,2019-01-27 00:00:00,0001127602-19-008676,SWK,16758.0,130.82,2192281.56,145553.0
64,2019-01-28 00:00:00,0001144204-19-016648,STKS,30000.0,50.0,1500000.0,65000.0
65,2019-01-28 00:00:00,0001069183-19-000028,AAXN,25452.0,60.22,1532719.44,103769.0
66,2019-01-28 00:00:00,0001209191-19-014758,MET,35772.0,44.65,1597219.8,116087.0
67,2019-01-28 00:00:00,0001085869-19-000012,PRFT,119292.0,28.82,3437995.44,590865.0
68,2019-01-29 00:00:00,0001127602-19-002943,AXP,21668.0,100.77,2183484.36,62476.66
69,2019-01-29 00:00:00,0001127602-19-002940,AXP,29381.0,100.77,2960723.37,64873.18
70,2019-01-29 00:00:00,0001127602-19-002935,AXP,17628.0,100.77,1776373.5599999998,37441.65
71,2019-01-29 00:00:00,0001127602-19-002929,AXP,20199.0,100.77,2035453.23,20199.0
72,2019-01-29 00:00:00,0001127602-19-002924,AXP,36726.0,100.77,3700879.02,87493.84
73,2019-01-29 00:00:00,0001127602-19-002922,AXP,23505.0,100.77,2368598.85,57501.74
74,2019-01-30 00:00:00,0001225208-19-001604,LMT,13141.0,287.87,3782899.67,81712.71
75,2019-01-30 00:00:00,0001225208-19-001602,LMT,8708.0,287.87,2506771.96,10153.48
76,2019-01-30 00:00:00,0001225208-19-001598,LMT,10867.0,287.87,3128283.29,46024.57
77,2019-01-30 00:00:00,0001225208-19-001597,LMT,8231.0,287.87,2369457.97,8231.0
78,2019-02-01 00:00:00,0001209191-19-015267,HII,12194.0,210.24,2563666.56,20420.58
79,2019-02-01 00:00:00,0001209191-19-015261,HII,14139.0,210.24,2972583.3600000003,56404.72
80,2019-02-01 00:00:00,0001209191-19-015252,HII,7435.0,210.24,1563134.4000000001,13999.84
81,2019-02-01 00:00:00,0001209191-19-015225,HII,12785.0,210.24,2687918.4,64469.72
82,2019-02-01 00:00:00,0001127602-19-009278,CVS,27183.0,57.83,1571992.89,208188.5
83,2019-02-04 00:00:00,0001545711-19-000007,IPG,160151.0,22.9,3667457.9,934910.0
84,2019-02-04 00:00:00,0001545711-19-000007,IPG,268161.0,22.9,6140886.899999999,965716.0
85,2019-02-04 00:00:00,0001437749-19-001787,HTGC,247336.0,13.14,3249995.04,497733.0
86,2019-02-05 00:00:00,0001225208-19-004644,Z AND ZG,38953.0,40.36,1572143.08,39654.0
87,2019-02-05 00:00:00,0001225208-19-004638,Z AND ZG,58430.0,40.36,2358234.8,137837.0
88,2019-02-05 00:00:00,0001445305-19-000022,WK,38700.0,41.86,1619982.0,218475.0
89,2019-02-05 00:00:00,0001445305-19-000020,WK,43000.0,41.86,1799980.0,332233.0
90,2019-02-05 00:00:00,0001127602-19-004045,JAG,321269.0,10.53,3382962.57,2249817.0
91,2019-02-05 00:00:00,0001732845-19-000057,WRK,78580.0,38.7,3041046.0,162437.0
92,2019-02-05 00:00:00,0001732845-19-000055,WRK,119272.0,38.7,4615826.4,195230.0
93,2019-02-05 00:00:00,0001732845-19-000053,WRK,47060.0,38.7,1821222.0000000002,109562.0
94,2019-02-05 00:00:00,0001732845-19-000051,WRK,42172.0,38.7,1632056.4000000001,341.06
95,2019-02-05 00:00:00,0001732845-19-000047,WRK,66411.0,38.7,2570105.7,108433.0
96,2019-02-06 00:00:00,0001069183-19-000041,AAXN,30135.0,60.22,1814729.7,108452.0
97,2019-02-06 00:00:00,0000059478-19-000067,LLY,21224.0,120.17,2550488.08,67806.0
98,2019-02-06 00:00:00,0000059478-19-000063,LLY,15619.0,120.17,1876935.23,70818.0
99,2019-02-06 00:00:00,0000059478-19-000055,LLY,28155.0,120.17,3383386.35,126299.0
100,2019-02-06 00:00:00,0000059478-19-000053,LLY,19404.0,120.17,2331778.68,124509.0
101,2019-02-06 00:00:00,0000059478-19-000051,LLY,26681.0,120.17,3206255.77,157961.0
102,2019-02-08 00:00:00,0001628280-19-001133,CW,21929.0,116.16,2547272.64,97093.0
103,2019-02-11 00:00:00,0001182489-19-000101,PM,49310.0,77.2,3806732.0,793075.0
104,2019-02-12 00:00:00,0001127602-19-011009,CSGS,51033.0,41.15,2100007.9499999997,292008.0
